Merchant ID,Merchant Name,Legal Entity Name,Store ids,Store Name,Offer ID,Offer Name,Offer Details,Offer Amount,Commission Rate,Vat Inc/Vat Ex,Voucher Type/Offer Type,Merchant Type,Start Date,End Date,Billable Date,Fulfillment Types,Business Address,Email Address
f30bf19f-71a5-4f88-a9b2-18ed64f3df52,Cabalen SM Clark,DIME SPECIALTY FOODS INC.,518784ce-ba3d-40f0-9ccc-e5d2c1548273,Cabalen SM Clark,CABALEN5,CABALEN5,4+1 promo (at least 4 paying adults and the 5th person eats free),,8%,VAT Ex,Coupled,secondary,2/14/2024,5/13/2024,05/29/2024,"LEAD GEN , MAPS",,
f30bf19f-71a5-4f88-a9b2-18ed64f3df52,Cabalen Robinsons Butuan,CHESTER LEGO,6fd3c950-aa88-4ada-8bc1-bbbffc703d3b,Cabalen Robinsons Butuan,CABALEN5,CABALEN5,4+1 promo (at least 4 paying adults and the 5th person eats free),,8%,VAT Ex,Coupled,secondary,2/14/2024,5/13/2024,05/29/2024,"LEAD GEN , MAPS",,
f30bf19f-71a5-4f88-a9b2-18ed64f3df52,Cabalen Marquee Mall,MARQUEE FINEST FOOD VENTURE CORP.,9f5cae9e-bed2-47d5-b952-5be7e1b2ea0e,Cabalen Marquee Mall,CABALEN5,CABALEN5,4+1 promo (at least 4 paying adults and the 5th person eats free),,8%,VAT Ex,Coupled,secondary,2/14/2024,5/13/2024,05/29/2024,"LEAD GEN , MAPS",,
f30bf19f-71a5-4f88-a9b2-18ed64f3df52,Cabalen SM Bacolod,MARISSA R. MONTELIBANO,0ae13c66-1978-4c30-b061-8586c0fcdd57,Cabalen SM Bacolod,CABALEN5,CABALEN5,4+1 promo (at least 4 paying adults and the 5th person eats free),,8%,VAT Ex,Coupled,secondary,2/14/2024,5/13/2024,05/29/2024,"LEAD GEN , MAPS",,
f30bf19f-71a5-4f88-a9b2-18ed64f3df52,Cabalen SM Sta. Rosa,CHARITO DE SANTA ROSA FOODS,729fd6b0-9083-4027-8d39-4c4cd5af0c40,Cabalen SM Sta. Rosa,CABALEN5,CABALEN5,4+1 promo (at least 4 paying adults and the 5th person eats free),,8%,VAT Ex,Coupled,secondary,2/14/2024,5/13/2024,05/29/2024,"LEAD GEN , MAPS",,
f30bf19f-71a5-4f88-a9b2-18ed64f3df52,Cabalen Harbor Point Subic,MAROLET INC,d3b43553-3aa2-4940-8197-706284b8cf19,Cabalen Harbor Point Subic,CABALEN5,CABALEN5,4+1 promo (at least 4 paying adults and the 5th person eats free),,8%,VAT Ex,Coupled,secondary,2/14/2024,5/13/2024,05/29/2024,"LEAD GEN , MAPS",,
f30bf19f-71a5-4f88-a9b2-18ed64f3df52,Cabalen SM Cebu,KUSINANG CABALEN INC.,2ab35e11-e576-4b96-8464-b355450b356c,Cabalen SM Cebu,CABALEN5,CABALEN5,4+1 promo (at least 4 paying adults and the 5th person eats free),,8%,VAT Ex,Coupled,secondary,2/14/2024,5/13/2024,05/29/2024,"LEAD GEN , MAPS",,
f30bf19f-71a5-4f88-a9b2-18ed64f3df52,Cabalen SM Lipa,REALICA NIEVERA REALICA COMPANY INC.,5dba6ee9-5f47-4707-be5a-ab3ad19dcf37,Cabalen SM Lipa,CABALEN5,CABALEN5,4+1 promo (at least 4 paying adults and the 5th person eats free),,8%,VAT Ex,Coupled,secondary,2/14/2024,5/13/2024,05/29/2024,"LEAD GEN , MAPS",,
f30bf19f-71a5-4f88-a9b2-18ed64f3df52,Cabalen SM Olongapo,OLONGAPO FINEST FOOD VENTURE INC.,f076e369-ae94-4e19-a898-fd307cfc3d23,Cabalen SM Olongapo,CABALEN5,CABALEN5,4+1 promo (at least 4 paying adults and the 5th person eats free),,8%,VAT Ex,Coupled,secondary,2/14/2024,5/13/2024,05/29/2024,"LEAD GEN , MAPS",,
f30bf19f-71a5-4f88-a9b2-18ed64f3df52,Cabalen SM Pampanga,TIONGSON REALICA DAVID CO. INC.,9044da83-4d21-4f94-a297-d3385f41deed,Cabalen SM Pampanga,CABALEN5,CABALEN5,4+1 promo (at least 4 paying adults and the 5th person eats free),,8%,VAT Ex,Coupled,secondary,2/14/2024,5/13/2024,05/29/2024,"LEAD GEN , MAPS",,
f30bf19f-71a5-4f88-a9b2-18ed64f3df52,Cabalen SM Davao,CAPAMPANGANG DAVAOENO INC.,48e9f044-26de-4687-9248-08253117275d,Cabalen SM Davao,CABALEN5,CABALEN5,4+1 promo (at least 4 paying adults and the 5th person eats free),,8%,VAT Ex,Coupled,secondary,2/14/2024,5/13/2024,05/29/2024,"LEAD GEN , MAPS",,
f30bf19f-71a5-4f88-a9b2-18ed64f3df52,Cabalen SM Lucena,"LUCENA FINEST FOOD VENTURE, INC.",830a28b2-6e9b-48f4-b3ca-6b66a599ed2f,Cabalen SM Lucena,CABALEN5,CABALEN5,4+1 promo (at least 4 paying adults and the 5th person eats free),,8%,VAT Ex,Coupled,secondary,2/14/2024,5/13/2024,05/29/2024,"LEAD GEN , MAPS",,
f30bf19f-71a5-4f88-a9b2-18ed64f3df52,Cabalen SM Bacoor,NIERICA INC.,07b88c01-b5cd-49f4-a719-e8ec00232d64,Cabalen SM Bacoor,CABALEN5,CABALEN5,4+1 promo (at least 4 paying adults and the 5th person eats free),,8%,VAT Ex,Coupled,secondary,2/14/2024,5/13/2024,05/29/2024,"LEAD GEN , MAPS",,
f30bf19f-71a5-4f88-a9b2-18ed64f3df52,Cabalen SM Dasmariñas,CAPAMPANGANG CAVITENO,9e9456bb-143a-4250-b734-af7a1f3f7789,Cabalen SM Dasmariñas,CABALEN5,CABALEN5,4+1 promo (at least 4 paying adults and the 5th person eats free),,8%,VAT Ex,Coupled,secondary,2/14/2024,5/13/2024,05/29/2024,"LEAD GEN , MAPS",,
f30bf19f-71a5-4f88-a9b2-18ed64f3df52,Cabalen Festival Mall,FPLN FOOD GROUP INC.,23d1e546-ede8-4b3a-8cfd-ed89a63b3768,Cabalen Festival Mall,CABALEN5,CABALEN5,4+1 promo (at least 4 paying adults and the 5th person eats free),,8%,VAT Ex,Coupled,secondary,2/14/2024,5/13/2024,05/29/2024,"LEAD GEN , MAPS",,
f30bf19f-71a5-4f88-a9b2-18ed64f3df52,Cabalen Ayala Malls Manila Bay,BY THE BAY FOOD CORP,5cf2c549-1dfe-47ce-9d6c-47cac288e32c,Cabalen Ayala Malls Manila Bay,CABALEN5,CABALEN5,4+1 promo (at least 4 paying adults and the 5th person eats free),,8%,VAT Ex,Coupled,secondary,2/14/2024,5/13/2024,05/29/2024,"LEAD GEN , MAPS",,
